country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases
Micronesia,"26,530",,65,,N/A,N/A
Congo,"25,375",,386,,"24,006",
Solomon Islands,"24,575",,153,,N/A,N/A
San Marino,"24,382",,125,,"24,249",
Timor-Leste,"23,460",,138,,"23,102",
Burkina Faso,"22,056",,396,,"21,596",
Liechtenstein,"21,474",,94,,"21,352",
Gibraltar,"20,550",,113,,"16,579",
Grenada,"19,693",,238,,"19,358",
Bermuda,"18,860",,165,,"18,685",
Nicaragua,"18,491",,225,,"4,225",
South Sudan,"18,368",,138,,"18,115",
Tajikistan,"17,786",,125,,"17,264",
Equatorial Guinea,"17,229",,183,,"16,907",
Monaco,"16,881",,67,,"15,992",
Tonga,"16,819",,13,,"15,638",
Samoa,"16,775",,31,,"1,605",
Marshall Islands,"16,119",,17,,"16,083",
Dominica,"15,760",,74,,"15,673",
Djibouti,"15,690",,189,,"15,427",
CAR,"15,368",,113,,"15,200",
Macao,"14,735",,123,,"3,487",
Gambia,"12,626",,372,,"12,189",
Saint Martin,"12,324",,63,,"1,399",
Vanuatu,"12,019",,14,,"11,976",
Greenland,"11,971",,21,,"2,761",
Yemen,"11,945",,"2,159",,"9,124",
Caribbean Netherlands,"11,682",,38,,"10,476",
Sint Maarten,"11,051",,92,,"10,905",
Eritrea,"10,189",,103,,"10,086",
Niger,"9,931",,312,,"8,890",
St. Vincent Grenadines,"9,631",,124,,"9,493",
Guinea-Bissau,"9,614",,177,,"8,929",
Comoros,"9,109",,161,,"8,939",
Antigua and Barbuda,"9,106",,146,,"8,954",
Liberia,"8,090",,295,,"7,783",
Sierra Leone,"7,762",,126,,N/A,N/A
Chad,"7,701",,194,,"4,874",
British Virgin Islands,"7,305",,64,,N/A,N/A
Cook Islands,"7,152",,2,,"7,150",
Turks and Caicos,"6,630",,39,,"6,576",
Saint Kitts and Nevis,"6,607",,48,,"6,559",
Sao Tome and Principe,"6,595",,80,,"6,509",
Palau,"6,228",,9,,"6,211",
St. Barth,"5,507",,6,,N/A,N/A
Nauru,"5,393",,1,,"5,347",
Kiribati,"5,085",,24,,"2,703",
Anguilla,"3,904",,12,,"3,879",
Wallis and Futuna,"3,550",,8,,438,
Saint Pierre Miquelon,"3,452",,2,,"2,449",
Tuvalu,"2,943",,1,,,
Saint Helena,"2,166",,,,2,
Falkland Islands,"1,930",,,,"1,930",
Montserrat,"1,403",,8,,"1,376",
Niue,880,+1,,,851,+5
Diamond Princess,712,,13,,699,
Tokelau,80,,,,,
Vatican City,29,,,,29,
Western Sahara,10,,1,,9,
MS Zaandam,9,,2,,7,
